中央卫视,#genre#
北京卫视,http://go.bkpcp.top/mg/bjws 
东方卫视,http://go.bkpcp.top/mg/dfws 
江苏卫视,http://go.bkpcp.top/mg/jsws 
湖南卫视,http://go.bkpcp.top/mg/hunws 
广东卫视,http://go.bkpcp.top/mg/gdws 
深圳卫视,http://go.bkpcp.top/mg/szws 
山东卫视,http://go.bkpcp.top/mg/sdws 
河南卫视,http://go.bkpcp.top/mg/hnws 
江西卫视,http://go.bkpcp.top/mg/jxws 
湖北卫视,http://go.bkpcp.top/mg/hubws 
海南卫视,http://go.bkpcp.top/mg/hinws 
陕西卫视,http://go.bkpcp.top/mg/sxws 
兵团卫视,http://go.bkpcp.top/mg/btws 
天津卫视,http://go.bkpcp.top/mg/tjws
河北卫视,http://go.bkpcp.top/mg/hbws
安徽卫视,http://go.bkpcp.top/mg/ahws
辽宁卫视,http://go.bkpcp.top/mg/lnws
吉林卫视,http://go.bkpcp.top/mg/jlws
重庆卫视,http://go.bkpcp.top/mg/cqws
四川卫视,http://go.bkpcp.top/mg/scws
广西卫视,http://go.bkpcp.top/mg/gxws
甘肃卫视,http://go.bkpcp.top/mg/gsws
云南卫视,http://go.bkpcp.top/mg/ynws
贵州卫视,http://go.bkpcp.top/mg/gzws
青海卫视,http://go.bkpcp.top/mg/qhws
东南卫视,http://go.bkpcp.top/mg/dnws
宁夏卫视,http://go.bkpcp.top/mg/nxws
山西卫视,http://go.bkpcp.top/mg/
西藏卫视,http://go.bkpcp.top/mg/xzws
新疆卫视,http://go.bkpcp.top/mg/xjws
黑龙江卫视,http://go.bkpcp.top/mg/hljws 
内蒙古卫视,http://go.bkpcp.top/mg/nmgws

浙江地区,#genre#
浙江新闻,https://ali-xwl.cztv.com/live/channel071080Plxw.m3u8
浙江国际,https://ali-xwl.cztv.com/live/channel101080Plxw.m3u8
浙江科教,https://ali-xwl.cztv.com/live/channel041080Plxw.m3u8
浙江经济,https://ali-xwl.cztv.com/live/channel031080Plxw.m3u8
浙江民生,https://ali-xwl.cztv.com/live/channel061080Plxw.m3u8
浙江少儿,https://ali-xwl.cztv.com/live/channel081080Plxw.m3u8
浙江钱江,https://ali-xwl.cztv.com/live/channel021080Plxw.m3u8
浙江纪录,https://ali-xwl.cztv.com/live/channel121080Plxw.m3u8
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxhb/index.m3u8
绍兴公共,http://live.shaoxing.com.cn/video/s10001-sxtv2/index.m3u8
绍兴文化影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
绍兴上虞影视,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8
绍兴上虞综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
绍兴上虞新商都,http://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
绍兴嵊州综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
绍兴诸暨新闻, http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8
港台卫视,#genre#
凤凰中文,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229422/110077577.smil
凤凰资讯,http://huixingy.top:18888/rtsp/220.191.136.24/PLTV/88888913/224/3221229423/110077527.smil
凤凰中文,http://www.liangcl.top:8686/udp/233.50.202.35:5140
凤凰资讯,http://www.liangcl.top:8686/udp/233.50.202.36:5140
凤凰香港,http://cdn6.163189.xyz/163189/fhhk#https://test.946985.filegear-sg.me/proxy/2a558c5084022f4c
凤凰资讯,https://iptv.852851.xyz/ch/760ba15d1f66242bafcc850c92f3f60e/master.m3u8
凤凰中文,https://iptv.852851.xyz/ch/b10f1a92a9e4876471425f3f287304fa/master.m3u8
凤凰香港,https://iptv.852851.xyz/ch/1183bed3a5b7e98e94e1ca51f890a1bb/master.m3u8
凤凰资讯,http://feilong123.vip/409990236/hktv.php?id=1
凤凰香港,http://feilong123.vip/409990236/hktv.php?id=2
凤凰中文,http://feilong123.vip/409990236/hktv.php?id=3
寰宇新聞,https://iptv.852851.xyz/ch/c923b10e6ed936189a40933fbd841da9/master.m3u8#http://jnzq.ohoyee.com:9080/live/xiangjiaoge-hyxw.m3u8#http://rihou.cc:555/tv/寰宇新闻
中天新聞,https://iptv.852851.xyz/ch/9cc92e5d8ca3b2fa16ad6c1dee5dff6e/master.m3u8#https://test.946985.filegear-sg.me/proxy/2160580991ac55a7#rtmp://vip.huahong.pro/live/xingjiaoge-ztxw2#http://rihou.cc:555/tv/[Hv]中天新聞#http://rihou.cc:555/tv/[SZ]中天新闻#http://rihou.cc:555/tv/[Us]中天新闻
中視新聞,https://iptv.707626.xyz/ch/845a1b13bfa79751ac2850c7807d4deb/master.m3u8
東森新聞台,https://iptv.707626.xyz/ch/276d9d7351320ebaf09bcd53b121a2b0/master.m3u8
三立綜合,https://iptv.707626.xyz/ch/c4ec421108818660ddae5a78da732c3b/master.m3u8
非凡新聞,https://iptv.707626.xyz/ch/a119271e4a5a1ec6522fe55e1e07121f/master.m3u8
TVBS新闻,http://jnzq.ohoyee.com:9080/live/xingjiaoge-tvbsxw.m3u8

