酒儿公告,#genre#
CCTV11,http://125.116.52.226:4022/rtp/233.50.200.132:5140$『线路7』
CCTV11,http://121.237.247.189:8888/rtp/239.49.0.127:8000$『线路8』
CCTV11,http://116.226.123.242:4022/rtp/239.45.1.196:5140$『线路9』
CCTV11,http://115.195.17.233:8888/rtp/233.50.200.132:5140$『线路10』
CCTV11,http://115.198.129.134:8000/rtp/233.50.200.132:5140$『线路11』
CCTV11,http://115.204.248.218:8888/rtp/233.50.200.132:5140$『线路12』
CCTV11,http://115.206.115.148:4022/rtp/233.50.200.132:5140$『线路13』
CCTV11,http://115.224.205.125:8888/rtp/233.50.200.132:5140$『线路14』
CCTV11,http://115.60.241.249:2000/rtp/225.1.4.215:1268$『线路15』
CCTV11,http://114.97.197.61:4022/rtp/238.1.78.206:7502$『线路16』
CCTV11,http://60.188.194.72:8888/rtp/233.50.200.132:5140$『线路17』
CCTV11,http://58.32.42.132:4022/rtp/239.45.1.196:5140$『线路18』
CCTV11,http://49.71.65.134:8800/rtp/239.49.0.127:8000$『线路19』
CCTV11,http://49.74.204.146:8888/rtp/239.49.0.127:8000$『线路20』
CCTV11,http://36.6.151.177:8888/rtp/238.1.78.206:7502$『线路21』
CCTV12,http://www.baopiqi.top:4022/udp/239.45.3.10:5140$『线路1』
CCTV12,http://222.184.193.235:55555/rtp/239.49.8.55:9822$『线路2』
CCTV12,http://222.212.166.172:8888/rtp/239.93.1.30:8124$『线路3』
CCTV12,http://218.1.139.206:8888/rtp/239.45.3.10:5140$『线路4』
CCTV12,http://171.213.128.34:4022/rtp/239.93.1.30:8124$『线路5』
CCTV12,http://171.88.144.241:4022/rtp/239.93.1.30:8124$『线路6』
CCTV12,http://125.116.52.226:4022/rtp/233.50.201.123:5140$『线路7』
CCTV12,http://121.237.247.189:8888/rtp/239.49.8.55:9822$『线路8』
CCTV12,http://116.226.123.242:4022/rtp/239.45.3.10:5140$『线路9』
CCTV12,http://115.195.17.233:8888/rtp/233.50.201.123:5140$『线路10』
CCTV12,http://115.198.129.134:8000/rtp/233.50.201.123:5140$『线路11』
CCTV12,http://115.204.248.218:8888/rtp/233.50.201.123:5140$『线路12』
CCTV12,http://115.206.115.148:4022/rtp/233.50.201.123:5140$『线路13』
CCTV12,http://115.224.205.125:8888/rtp/233.50.201.123:5140$『线路14』
CCTV12,http://115.60.241.249:2000/rtp/225.1.4.79:1108$『线路15』
CCTV12,http://114.97.197.61:4022/rtp/238.1.78.242:7808$『线路16』
CCTV12,http://60.188.194.72:8888/rtp/233.50.201.123:5140$『线路17』
CCTV12,http://58.32.42.132:4022/rtp/239.45.3.10:5140$『线路18』
CCTV12,http://49.71.65.134:8800/rtp/239.49.8.55:9822$『线路19』
CCTV12,http://49.74.204.146:8888/rtp/239.49.8.55:9822$『线路20』
CCTV12,http://36.6.151.177:8888/rtp/238.1.78.242:7808$『线路21』
CCTV13,http://www.baopiqi.top:4022/udp/239.45.0.19:5140$『线路1』
CCTV13,http://222.184.193.235:55555/rtp/239.49.8.109:8000$『线路2』
CCTV13,http://222.212.166.172:8888/rtp/239.93.0.66:5140$『线路3』
CCTV13,http://218.1.139.206:8888/rtp/239.45.1.198:5140$『线路4』
CCTV13,http://171.213.128.34:4022/rtp/239.93.0.66:5140$『线路5』
CCTV13,http://171.88.144.241:4022/rtp/239.93.0.66:5140$『线路6』
CCTV13,http://125.116.52.226:4022/rtp/233.50.201.246:5140$『线路7』
CCTV13,http://121.237.247.189:8888/rtp/239.49.8.109:8000$『线路8』
CCTV13,http://116.226.123.242:4022/rtp/239.45.1.198:5140$『线路9』
CCTV13,http://115.195.17.233:8888/rtp/233.50.201.246:5140$『线路10』
CCTV13,http://115.198.129.134:8000/rtp/233.50.201.246:5140$『线路11』
CCTV13,http://115.204.248.218:8888/rtp/233.50.201.246:5140$『线路12』
CCTV13,http://115.206.115.148:4022/rtp/233.50.201.246:5140$『线路13』
CCTV13,http://115.224.205.125:8888/rtp/233.50.201.246:5140$『线路14』
